country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,tax_burden_score,overall_economic_freedom_score,women_mps_pct
Ethiopia,105000000,1000000,33,26.7,0.463,4.180315495,32.30000000000001,177.5,1946,10.200000000000001,4.046843680000001,66,4.74608957488,1002.8698532211091,8,5.7,90.6,17.7,7,6,-1.6900000000000002,-0.7,-1.01,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,38.80000000000001
Morocco,36000000,446300,40.9,32.7,0.6669999999999999,5.312482833999998,45.8,281.8,8330,4.5,5.527863619999999,435,4.74608957488,1002.8698532211091,12,10,70.5,31.4,5,5,-0.41000000000000003,-0.16,-0.23,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,20.5
Montenegro,600000,13452,31.9,25.1,0.814,5.6147985459999985,52.08914728682171,10.4,16643,4.1,5.970296170000001,957,4.74608957488,1002.8698532211091,15,17.5,35.7,46.3,3,3,0.01,0.15000000000000002,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,23.5
Gabon,1900000,257667,42.2,17.5,0.702,4.782382965,40.9,35.9,19057,4,2.67891653,481,4.74608957488,1002.8698532211091,13.711864406779661,18.5,84.6,22.6,7,5,-0.09,-0.9400000000000001,-0.7899999999999999,-0.6799999999999999,-0.81,27.8,33.4,29.9,74.3,58,17.1
Saudi Arabia,33000000,2149690,45.9,26.8575,0.8530000000000001,6.294282436,62.6,1750.9,55158,3.4,6.347233949999999,3121,4.74608957488,1002.8698532211091,16,5.5,52,40,7,7,-0.62,0.25,0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,19.9
Nepal,29000000,143351,32.80000000000001,30.5,0.574,4.7366924290000005,41.7,71.5,2479,3.4,6.146987209999998,151,3.9930200580000004,28.200252855837697,12,3.2,87.6,20.3,3,4,-0.6599999999999999,-0.88,-0.72,-0.6799999999999999,-0.75,36.2,24.6,37.5,84.2,54.1,29.6
Niger,21000000,1266700,34,16.8,0.354,4.615673541999999,52.08914728682171,20.1,1107,4,7.165197899999998,68,6.727709769999999,28.915091012452326,5,2.6,72.9,30.1,4,4,-1.3,-0.6699999999999999,-0.6799999999999999,-0.6799999999999999,-0.65,32.6,30.4,37.4,73.3,49.5,17
Mongolia,3000000,1553556,34,14.3,0.741,5.333850384,50.6,37,12275,2.3,3.8699188099999997,470,4.7148499489999995,197.15537869154528,15,6.7,57.1,37.80000000000001,1,2,0.8200000000000001,-0.26,-0.12000000000000001,-0.3,-0.45,30.9,34.80000000000001,51,88.4,55.7,17.1
Botswana,2200000,566730,60.5,16.6,0.717,3.504881144,44.1,36.7,17042,-0.3,5.970915859999998,970,4.74608957488,1002.8698532211091,13,18.4,63.4,34.9,3,2,1.03,0.43000000000000005,0.46,0.51,0.8,54.7,56.6,57.7,76.1,69.9,9.5
Ecuador,17000000,276841,45.9,37,0.752,5.839518546999998,48.1,183.6,11109,0,6.76967432,980,4.74608957488,1002.8698532211091,15,5.4,52.5,39.80000000000001,3,3,-0.1,-0.32,-1,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,38
Bosnia and Herzegovina,3900000,51187,33.80000000000001,25.3,0.768,5.089902401,50.2,42.2,10958,2.8,9.382560290000002,1102,4.74608957488,1002.8698532211091,14,25.8,41.5,44.1,4,4,-0.38,-0.48000000000000004,-0.15000000000000002,-0.21000000000000002,-0.52,43.7,28.4,39.5,83.5,61.4,21.4
Australia,25000000,7682300,30.3,21.2,0.939,7.257037639999999,78.9,1187.3,48899,2.5,9.44533327,4492,5.192669867999999,3236.4742114028095,20,5.7,61.2,36,1,1,0.9,1.54,1.93,1.6800000000000002,1.8,93.4,77.4,78.7,63,80.9,28.7
United Arab Emirates,9000000,83600,38.196875,26.8575,0.8630000000000001,7.039419651,70.4,668.9,67871,3.9,3.46589995,2426,4.74608957488,1002.8698532211091,13.711864406779661,3.7,70.9,31.2,7,6,0.63,1.4,1.01,0.8,1.1299999999999997,83.4,77.3,76.3,98.4,77.6,22.5
Tunisia,12000000,155360,40,26.2,0.735,4.124342917999999,49.3,130.6,11634,0.8,6.740490659999999,774,4.74608957488,1002.8698532211091,15,14.8,75.5,28.6,2,3,-1.05,-0.07,-0.41000000000000003,0.07,-0.11,41.7,36.80000000000001,49.4,73,58.9,31.3
Zambia,17000000,743398,57.5,25.2,0.588,3.9327774049999995,33.2,64.9,3880,3.6,5.354287369999998,203,4.74608957488,1002.8698532211091,13.711864406779661,7.5,80.2,25.7,4,4,0.11,-0.62,-0.47000000000000003,-0.32999999999999996,-0.54,40.6,36.30000000000001,46,72.1,54.3,18
Congo (Rep.),4500000,341500,48.9,18.8,0.606,4.8839912409999995,32.7,29.8,6676,2.5,3.4339117500000005,203,4.74608957488,1002.8698532211091,11,11.2,33.4,47.1,7,5,-0.53,-1.1900000000000002,-1.33,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,11.3
South Africa,57000000,1214470,62.5,15.9,0.6989999999999998,4.513655186,38.5,739.4,13225,1.3,8.20115459,1086,6.046939849999999,389.0572274696202,13,25.9,68.1,32.6,2,2,-0.27,0.2800000000000001,0.23,-0.01,-0.01,65.9,45.4,67.7,62.5,63,42
Kyrgyzstan,6000000,191801,33.4,33.1,0.6719999999999999,5.629536628999999,45.4,21.5,3521,3.5,8.21788363,287,5.531599998,70.79174527475111,13,7.7,58.2,37.30000000000001,5,5,-0.43000000000000005,-0.71,-0.35,-0.93,-0.32999999999999996,22.1,29.4,50.2,93.8,62.8,19.2
Argentina,44000000,2736690,41.7,35.2,0.8250000000000001,6.039330006,57.3,874.1,20048,1.2,2.9469784499999996,1390,5.361440182,656.522506614818,17,6.6,55.6,38.5,2,2,0.18,0.16,-0.29000000000000004,-0.25,-0.26,44.5,32.6,40.80000000000001,65.7,52.3,38.9
Libya,6000000,1759540,38.196875,26.8575,0.706,5.646852493,52.08914728682171,55.4,8679,-6.4,6.955829060441176,1510.5413533834587,4.74608957488,1002.8698532211091,13.711864406779661,19.2,0,92.9,7,6,-2.3299999999999996,-1.77,-2.21,-1.78,-0.69,22.1,23.1,5.2,90.5,62.18721804511278,16
Singapore,6000000,709.2,45.9,26.8575,0.932,6.378437996,81.8,492.6,87855,2,4.252175339999999,3681,4.74608957488,1002.8698532211091,13,1.8,90.6,17.7,4,4,1.59,2.21,2.12,1.82,2.13,90.9,91.2,98.4,90.4,88.8,23
Romania,20000000,229891,27.3,28.8,0.811,6.089904785,60,441.6,22348,3.7,10.64553884,1090,3.128509998,313.48460663453125,15,6.4,66.9,33.2,2,2,0.06,-0.17,0.49,0.39,-0.03,59.7,40,61,87.3,69.4,20.7
Malawi,19000000,94080,46.1,22.1,0.47700000000000004,3.416862964999999,32.5,21.1,1135,3,9.330971839999998,108,4.839839935,17.168141378569537,11,6.7,70.7,31.3,3,3,-0.27,-0.6699999999999999,-0.75,-0.37,-0.65,47.1,28.9,33.1,76.9,52,16.7
Italy,61000000,294140,31.9,28.1,0.88,6.198870182,69.1,2234.5,36833,0.8,8.99632037,3351,4.075250149,1442.50074982271,16,11.5,24.1,50.3,1,1,0.24000000000000002,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,31
Japan,127000000,364485,37.9,28.3,0.909,5.910676479,75.2,5237.8,41275,0.5,10.89815618,4405,3.59059,1368.3517428187556,15,3.1,54.1,39.1,1,1,1.12,1.62,1.37,1.57,1.52,73.2,79.2,86,67.4,72.3,9.3
Russia,144000000,16377742,41.2,18.7,0.816,5.578742981000001,57,3799.7,26490,-3.7,7.00916167,1414,4.74608957488,1002.8698532211091,15,5.7,62.5,35.30000000000001,7,6,-0.6699999999999999,-0.08,-0.48000000000000004,-0.7899999999999999,-0.89,46.9,38.1,48.7,85.8,58.2,15.8
Myanmar,53000000,676575,38.196875,24.7,0.5780000000000001,4.154341697999999,37,304.7,5832,7,4.949253460000001,267,4.74608957488,1002.8698532211091,13.711864406779661,0.8,84.7,22.6,5,5,-1.08,-1.05,-0.8300000000000001,-0.9500000000000001,-0.56,17.6,28.2,32.5,86.3,53.9,10.200000000000001
Korea (Rep.),51000000,96920,35.7,24.8,0.903,5.873887061999999,52.08914728682171,1934,37740,2.6,7.390527279999998,1510.5413533834587,5.056719779999999,1406.338952699802,17,3.7,68.8,32.30000000000001,2,2,0.29000000000000004,1.08,1.11,1.1599999999999997,-1.48,63.7,49.9,79.4,73.3,73.8,17
United States,326000000,9147593,45,20.7,0.924,6.991759300000001,76,18569.099999999995,57436,2.4,16.83613019,9536,4.989480019,2729.080813703438,17,4.9,56.5,38.1,2,1,0.3,1.55,1.6300000000000001,1.6400000000000001,1.3800000000000001,76.9,71.9,79.3,65.1,75.7,19.4
Ireland,4700000,68883,31.3,30,0.938,7.0601553919999995,80.3,324.8999999999999,69231,7.8,7.76144215,5335,4.74608957488,1002.8698532211091,19,8.1,69.6,31.9,1,1,1.02,1.29,1.59,1.43,1.55,79,79,87.7,76.1,80.4,22.2
Spain,47000000,498980,35.9,36,0.891,6.230173111000001,71.8,260.6,12262,5.2,9.165375189999999,3183,4.279900074,1267.8410902123887,18,5,89.3,18.9,1,1,0.27,1.03,0.9400000000000001,1.01,0.49,52,30.7,46.5,84.9,57.8,39.1
Austria,9000000,82445,30.5,30.5,0.908,7.293727875,80.3,417.2,48005,0.9,10.319881670000001,5138,5.448979855,2817.3673823401177,16,6.1,19.4,51.8,1,1,1.04,1.46,1.44,1.81,1.53,80.9,73.5,83.5,49.9,71.8,30.6
Latvia,2000000,62249,34.5,17.1,0.8470000000000001,6.093905448999999,66.1,50.6,25710,2.7,5.760598809999999,1429,5.268799782000001,828.0640191631012,16,9.9,59,37,2,2,0.46,0.9,1.1499999999999997,0.93,-0.9400000000000001,58.9,45.4,68.3,84,73.6,16
Serbia,7000000,77474,38.7,29,0.7869999999999999,5.122031211999998,54.9,101.8,14493,0.7,9.405079540000003,1324,4.180250167999999,259.1827514900437,15,16.5,40.6,44.5,3,2,0.1,0.19,0.01,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,34.4
Kenya,50000000,569140,48.5,24.2,0.59,4.475654125000001,35.4,152.8,3361,5.6,5.220176709999999,157,5.280149937,70.4965100898664,11,11,77.5,27.4,4,4,-1.08,-0.31,-0.23,-0.41000000000000003,-0.8200000000000001,44,27.5,47.9,78.5,54.7,21.8
Mali,19000000,1220190,40.1,26.8575,0.4270000000000001,4.7418503759999995,29.7,38.1,2266,6.1,5.79663385,118,3.6374099249999996,30.853527586860857,8,8.1,85.3,22.2,5,4,-1.91,-0.9400000000000001,-0.57,-0.7799999999999999,-0.63,32.4,31.4,31.9,68.1,57.6,8.8
New Zealand,4700000,264537,36.2,31.3,0.917,7.3271827699999985,78.6,177,37294,3.4,9.34035114,3530,6.355259895,2831.942817038217,19,5.2,49.5,41,1,1,1.59,1.77,2.09,1.92,2.24,88.4,95.7,95.1,70.5,84.2,34.2
Portugal,10000000,91470,33.9,24.8,0.8470000000000001,5.711499214,70.8,298.7,28933,1.5,8.97237559,2661,5.123250007999999,1131.088247851075,17,11.2,29.8,48.4,1,1,1.08,1.33,0.91,1.1299999999999997,0.8700000000000001,70.1,56.8,69.2,59.8,63.4,34.80000000000001
Afghanistan,36000000,652230,38.196875,20.2,0.498,2.6617181299999997,52.08914728682171,64.1,1919,1.5,10.297594810000001,184,3.7800000000000002,23.789250463379656,11,8.5,79.3,26.3,5,6,-2.7800000000000002,-1.33,-1.34,-1.57,-1.52,28.2,26.2,17.9,91.8,51.3,27.7
Kazakhstan,18000000,2699700,26.3,19.1,0.8,5.882351398,57.7,451.3,25145,1.2,3.8804750199999996,903,4.74608957488,1002.8698532211091,15,5.2,85.3,22.2,7,5,0.02,0.01,0.17,-0.41000000000000003,0.26,58.1,44.6,56,92.6,69.1,27.1
Tajikistan,9000000,141510,32.6,34.2,0.65,5.829234123,41.3,149.8,3080,7,6.123065369999999,193,4.74608957488,1002.8698532211091,11,2.6,89.8,18.5,7,6,-0.6699999999999999,-1.12,-1.06,-1.35,-1.33,34.7,31.8,38,79.8,59.9,19
Trinidad and Tobago,1400000,5128,38.196875,15.7,0.7839999999999999,6.191859722,58.7,43.6,31870,-1.8,6.01520913,2204,4.74608957488,1002.8698532211091,13.711864406779661,3.9,54.4,39,2,2,0.29000000000000004,0.26,0.03,-0.11,-0.36,49.8,33.1,54.9,83.5,57.7,31
Denmark,6000000,42434,29,32.7,0.929,7.593702316,82,273.8999999999999,47985,1.2,10.326207010000001,5083,4.74608957488,1002.8698532211091,19,6.1,10.6,54.6,1,1,0.8700000000000001,1.8,1.62,1.86,2.19,83.6,84.1,84.8,41.4,76.6,37.4
Zimbabwe,17000000,386847,43.2,22.1,0.535,3.63830018,29.7,28.6,1970,1.5,10.317197930000003,182,7.530680180000001,77.64919079194497,10,5.1,72,30.6,6,5,-0.77,-1.1900000000000002,-1.56,-1.3800000000000001,-1.27,33,18.9,27.6,61.1,44,32.6
Guinea,13000000,245717,39.4,26.8575,0.459,4.873722553,28.3,16,1265,0.1,4.53653174,57,2.4192600249999994,17.961934354164757,9,6.8,80.6,25.4,5,5,-0.61,-1.04,-0.8400000000000001,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,21.9
Belgium,11000000,30278,25.9,23.7,0.916,6.928347588,77.5,509.5,45047,1.4,10.47712841,4782,6.596849918,3123.7388014235075,20,8.3,12.1,54.1,1,1,0.42000000000000004,1.1800000000000002,1.24,1.34,1.5,69.5,70.9,81.2,44,67.5,38
Slovenia,2100000,20151,24.4,24.6,0.896,6.166837691999999,72.6,66.2,32085,2.9,8.543183820000001,2734,5.294439793,1281.3831290489586,17,8.700000000000001,31.2,47.9,1,1,0.89,1.1700000000000002,0.5800000000000001,1.02,0.81,57.7,52.1,76.6,58.7,64.8,36.7
El Salvador,6000000,20721,36,35.6,0.6739999999999999,6.339318275,47.2,54.8,8909,2.4,10.326207010000001,578,3.4485599989999995,124.0030008746531,13,6.3,86.3,21.3,2,3,-0.25,-0.37,-0.15000000000000002,-0.8600000000000001,-0.51,35.4,25.2,37.30000000000001,78.9,63.2,32.1
Madagascar,26000000,581540,41,26.8575,0.519,4.078620434000001,31.1,37.5,1505,3,5.237789649999999,77,4.74608957488,1002.8698532211091,11,2.1,92.9,15.4,3,4,-0.32999999999999996,-1.1399999999999997,-0.69,-0.8600000000000001,-1.05,21.4,17.8,33.2,90.3,56.8,19.2
Germany,83000000,348672,27,29.8,0.936,7.0743246079999995,79.6,3980.3,48111,1.5,11.151568510000002,5357,4.931129932000001,2369.043117307878,17,4.3,41.3,44.2,1,1,0.5800000000000001,1.72,1.78,1.61,1.84,78,75.3,81,61.3,74.2,37
Uzbekistan,32000000,425400,36.80000000000001,29.1,0.71,6.421447754,43.1,205.7,6563,8,6.23430295,383,4.74608957488,1002.8698532211091,12,8.9,65.5,33.9,7,7,-0.2800000000000001,-0.56,-1.26,-1.11,-1.1599999999999997,35.30000000000001,24.2,48.7,91,51.5,16
Panama,4000000,74340,50.7,39.5,0.7889999999999999,6.567658900999999,54.5,92.9,23024,5.8,7.00916167,1543,4.74608957488,1002.8698532211091,13,5.8,84.1,23.1,2,2,0.39,0.01,0.39,0.04,-0.54,29.4,38.80000000000001,60.9,85,67,18.3
Norway,5000000,304282,26.8,36.80000000000001,0.9530000000000001,7.578744888,85.3,364.4,69250,1.6,9.98,6222,7.68073988,7465.67990493581,18,4.8,29.2,48.6,1,1,1.1499999999999997,1.98,1.81,2.02,2.24,86,93.6,86.4,56.4,74.3,39.6
China,1386000000,9326410,46.5,25.7,0.752,5.099061489000001,50.8,21291.8,15399,6.9,5.315867769999999,762,4.74608957488,1002.8698532211091,14,4.6,71.6,30.7,7,6,-0.25,0.42000000000000004,-0.15000000000000002,-0.26,-0.27,65.4,47.3,46.7,70.4,57.8,24.2
Philippines,105000000,298170,44.4,35,0.6989999999999998,5.594270228999999,44.5,805.2,7728,5.8,4.413515939999998,323,4.74608957488,1002.8698532211091,13,5.9,89.3,18.9,3,3,-1.24,-0.06,0.02,-0.41000000000000003,-0.48000000000000004,38.2,34.4,45,78.9,65,29.5
Kuwait,4200000,17818,38.196875,26.8575,0.803,6.093905448999999,65.7,303.7,71887,0.9,4.033268640000001,2978,4.74608957488,1002.8698532211091,13,2.4,20.5,51.5,5,5,-0.04,-0.17,-0.06,0.1,-0.5,53.5,36.6,52,97.7,62.2,3.1
Central African Republic,4900000,622984,43.6,26.8575,0.36700000000000005,3.4758620259999993,16.1,3.2,652,4.3,4.78,32,4.74608957488,1002.8698532211091,7,6.9,94.6,13.4,7,7,-1.94,-1.77,-1.48,-1.73,-1.1700000000000002,28.2,24.6,17.9,64.6,49.2,8.6
Indonesia,264000000,1811569,36.80000000000001,35.7,0.6939999999999998,5.098401545999999,46.4,3032.1,11720,4.8,3.3474313700000002,369,3.2880098820000003,114.80404934354736,13,5.6,90.7,17.6,2,4,-0.51,0.04,-0.11,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,19.8
Dominican Republic,11000000,48320,47.1,30.3,0.736,5.605202675,48.1,161.8,16050,7,6.224041449999999,873,4.74608957488,1002.8698532211091,13,14.4,90.6,17.7,3,3,0.16,-0.35,-0.08,-0.42000000000000004,-0.74,23.1,26.2,51.7,84.6,61.6,26.8
Uruguay,3500000,175015,41.6,36.1,0.804,6.336009979,64.2,74.9,21527,1.5,9.223928059999997,1748,4.74608957488,1002.8698532211091,16,8.200000000000001,68.6,32.4,1,1,1.06,0.42000000000000004,0.6599999999999999,0.59,1.29,67,71.6,69.3,78,69.2,20.2
India,1339000000,2973193,35.2,29.2,0.64,4.046111106999999,40,8662.4,6616,7.3,3.8882568799999997,238,4.74608957488,1002.8698532211091,12,3.5,77.7,27.3,2,3,-0.8300000000000001,0.09,-0.25,0,-0.24000000000000002,54.3,47.2,55.4,79.4,54.5,11.8
Cambodia,16000000,176515,37.9,25.6,0.582,4.585842133,38.5,59,3737,6.9,5.9822600900000005,210,1.9008300299999998,20.790557834844943,11,0.3,86.5,21.2,6,5,0.17,-0.6599999999999999,-0.5,-1.06,-1.29,24.5,17.7,36,89.8,58.7,20.3
South Sudan,13000000,644329,46,26.8575,0.388,2.816622495999999,52.08914728682171,1686.9,36416,3.2,2.5309594399999997,71,1.7129700179999998,22.431126228731635,13.711864406779661,19.4,42.8,43.7,7,7,-2.46,-2.48,-1.94,-1.94,-1.71,62,51.5,73.1,62,65.1,28.5
Hungary,10000000,89608,28.2,26.4,0.8380000000000001,6.065038680999999,66.1,270.3,27482,2.9,7.236133790000001,1912,4.631949902,657.8033358730155,15,5.2,29.4,48.5,3,2,0.81,0.51,0.65,0.53,0.09,57.1,36.4,57.6,78.6,66.7,10.1
Togo,8000000,54385,46,13.2,0.503,4.360805034999999,34.9,11.6,1550,5.3,6.649130459999999,96,4.87635994,30.239861051629212,12,6.8,73.3,29.8,4,4,-0.74,-1.1299999999999997,-0.7899999999999999,-0.71,-0.71,28.2,31.4,32.7,64.3,47.8,17.6
Laos,7000000,230800,36.7,26.8575,0.601,4.623140811999998,37.80000000000001,40.9,5710,7,2.8056136899999995,1510.5413533834587,2.9378099439999996,59.27289446716531,11,1.5,79.3,26.3,7,6,0.43000000000000005,-0.36,-0.72,-0.88,-1.05,41.4,33.1,34.1,86.7,53.6,27.5
